card_cm_bank12m_pct,card_cm_bank24m_pct,card_cm_bank60m_pct
0.0,0.0,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.25,0.25,1.0
0.0,0.0,1.0
1.0,1.0,1.0
0.043,0.13,0.304
0.0,0.0,0.444
0.0,0.0,0.833
0.0,0.11800000000000001,0.11800000000000001
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.043,0.478,0.522
0.385,0.462,0.6920000000000001
-1.0,-1.0,-1.0
0.034,0.034,0.655
0.091,0.455,0.545
0.2,0.6,1.0
0.0,0.0,0.0
0.0,0.0,0.8
0.0,0.33299999999999996,0.33299999999999996
0.0,1.0,1.0
0.10800000000000001,0.18899999999999997,0.757
0.938,1.0,1.0
0.16699999999999998,0.16699999999999998,1.0
0.0,0.0,0.733
0.0,0.0,0.14300000000000002
0.0,0.0,0.733
0.0,0.0,0.818
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.733
0.0,0.111,0.444
0.5,0.5,1.0
0.111,0.111,0.833
0.0,1.0,1.0
0.0,0.105,0.9470000000000001
0.25,0.25,0.75
0.0,0.0,1.0
0.0,0.33299999999999996,0.667
0.0,0.0,0.667
0.2,0.2,1.0
0.045,0.136,0.409
0.0,0.0,0.33299999999999996
0.0,0.33299999999999996,1.0
0.0,0.444,0.556
0.833,0.833,1.0
0.647,0.706,0.8240000000000001
1.0,1.0,1.0
0.0,0.7559999999999999,1.0
0.0,0.0,0.0
0.0,0.0,0.3
0.0,0.0,1.0
0.0,0.14300000000000002,0.28600000000000003
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,1.0,1.0
0.16699999999999998,0.33299999999999996,0.833
0.0,0.0,0.0
0.0,0.5,0.5
-1.0,-1.0,-1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.16699999999999998,0.33299999999999996,0.5
0.0,0.0,0.667
0.0,0.0,0.222
