card_cm_bank60m_pct,card_cm_bank24m_pct
-1.0,-1.0
1.0,1.0
0.625,0.375
1.0,0.269
0.583,0.083
0.0,0.0
1.0,0.5710000000000001
1.0,0.0
0.75,0.16699999999999998
0.857,0.14300000000000002
-1.0,-1.0
0.667,0.333
1.0,0.0
1.0,1.0
1.0,0.0
0.625,0.312
1.0,0.0
0.5710000000000001,0.28600000000000003
0.14300000000000002,0.0
0.0,0.0
-1.0,-1.0
0.5710000000000001,0.14300000000000002
-1.0,-1.0
1.0,1.0
-1.0,-1.0
0.5,0.5
1.0,0.125
-1.0,-1.0
1.0,0.182
1.0,1.0
1.0,0.0
0.429,0.14300000000000002
0.0,0.0
0.28600000000000003,0.28600000000000003
1.0,1.0
0.0,0.0
0.462,0.308
0.4,0.0
1.0,0.667
0.818,0.091
0.5,0.16699999999999998
1.0,1.0
1.0,0.0
0.938,0.312
1.0,1.0
0.444,0.222
1.0,1.0
0.75,0.5
0.0,0.0
1.0,1.0
1.0,1.0
1.0,0.5710000000000001
1.0,0.0
1.0,0.5
0.524,0.28600000000000003
0.364,0.0
0.969,0.062
0.471,0.0
0.0,0.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.4
0.667,0.16699999999999998
0.72,0.04
0.0,0.0
0.75,0.75
0.067,0.067
0.14300000000000002,0.0
1.0,0.5
-1.0,-1.0
0.7140000000000001,0.7140000000000001
1.0,0.857
1.0,0.0
1.0,0.5
0.6,0.2
0.333,0.0
1.0,0.2
1.0,0.667
0.8,0.6
1.0,1.0
1.0,0.8
0.5,0.0
0.8,0.1
